x1,x2,x3,u,x,y
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0205,0.0
0.0,0.0,0.0,0.0,0.0415,0.0
0.0,0.0,0.0,0.0,0.063,0.0
0.0,0.0,0.0,0.0,0.085,0.0
0.0,0.0,0.0,0.0,0.10750000000000001,0.0
0.0,0.0,0.0,0.0,0.1305,0.0
0.0,0.0,0.0,0.0,0.154,0.0
0.0,0.0,0.0,0.0,0.178,0.0
0.0,0.0,0.0,0.0,0.20249999999999999,0.0
0.0,0.0,0.0,0.0,0.22749999999999998,0.0
0.0,0.0,0.0,0.0,0.253,0.0
0.0,0.0,0.0,0.0,0.279,0.0
0.0,0.0,0.0,0.0,0.30550000000000005,0.0
0.0,0.0,0.0,0.0,0.3325000000000001,0.0
0.0,0.0,0.0,0.0,0.3600000000000001,0.0
0.0,0.0,0.0,0.0,0.3880000000000001,0.0
0.0,0.0,0.0,0.0,0.4165000000000001,0.0
0.0,0.0,0.0,0.0,0.4455000000000001,0.0
0.0,0.0,0.0,0.0,0.4750000000000001,0.0
0.0,0.0,0.0,0.0,0.5050000000000001,0.0
0.0,0.0,0.0,0.0,0.5355000000000001,0.0
0.0,0.0,0.0,0.0,0.5665000000000001,0.0
0.0,0.0,0.0,0.0,0.5980000000000001,0.0
0.0,0.0,0.0,0.0,0.6300000000000001,0.0
0.0,0.0,0.0,0.0,0.6625000000000001,0.0
0.0,0.0,0.0,0.0,0.6955000000000001,0.0
0.0,0.0,0.0,0.0,0.7290000000000001,0.0
0.0,0.0,0.0,0.0,0.7630000000000001,0.0
0.0,0.0,0.0,0.0,0.7975000000000001,0.0
0.0,0.0,0.0,0.0,0.8325000000000001,0.0
0.0,0.0,0.0,0.0,0.8680000000000001,0.0
0.0,0.0,0.0,0.0,0.9040000000000001,0.0
0.0,0.0,0.0,0.0,0.9405000000000001,0.0
0.0,0.0,0.0,0.0,0.9775000000000001,0.0
0.0,0.0,0.0,0.0,1.0150000000000001,0.0
0.0,0.0,0.0,0.0,1.0530000000000002,0.0
0.0,0.0,0.0,0.0,1.0915000000000001,0.0
0.0,0.0,0.0,0.0,1.1305,0.0
0.0,0.0,0.0,0.0,1.1700000000000002,0.0
0.0,0.0,0.0,0.0,1.2100000000000002,0.0
0.0,0.0,0.0,0.0,1.2500000000000002,0.0
0.0,0.0,0.0,0.0,1.2900000000000003,0.0
0.0,0.0,0.0,0.0,1.3300000000000003,0.0
0.0,0.0,0.0,0.0,1.3700000000000003,0.0
0.0,0.0,0.0,0.0,1.4100000000000004,0.0
0.0,0.0,0.0,0.0,1.4500000000000004,0.0
0.0,0.0,0.0,0.0,1.4900000000000004,0.0
0.0,0.0,0.0,0.0,1.5300000000000005,0.0
0.0,0.0,0.0,0.0,1.5700000000000005,0.0
0.0,0.0,0.0,0.0,1.6100000000000005,0.0
0.0,0.0,0.0,0.0,1.6500000000000006,0.0
0.0,0.0,0.0,0.0,1.6900000000000006,0.0
0.0,0.0,0.0,0.0,1.7300000000000006,0.0
0.0,0.0,0.0,0.0,1.7700000000000007,0.0
0.0,0.0,0.0,0.0,1.8100000000000007,0.0
0.0,0.0,0.0,0.0,1.8500000000000008,0.0
0.0,0.0,0.0,0.0,1.8900000000000008,0.0
0.0,0.0,0.0,0.0,1.9300000000000008,0.0
0.0,0.0,0.0,0.0,1.9700000000000009,0.0
0.0,0.0,0.0,0.0,2.0100000000000007,0.0
0.0,0.0,0.0,0.0,2.0500000000000007,0.0
0.0,0.0,0.0,0.0,2.0900000000000007,0.0
0.0,0.0,0.0,0.0,2.130000000000001,0.0
0.0,0.0,0.0,0.0,2.170000000000001,0.0
0.0,0.0,0.0,0.0,2.210000000000001,0.0
0.0,0.0,0.0,0.0,2.250000000000001,0.0
0.0,0.0,0.0,0.0,2.290000000000001,0.0
0.0,0.0,0.0,0.0,2.330000000000001,0.0
0.0,0.0,0.0,0.0,2.370000000000001,0.0
0.0,0.0,0.0,0.0,2.410000000000001,0.0
0.0,0.0,0.0,0.0,2.450000000000001,0.0
0.0,0.0,0.0,0.0,2.490000000000001,0.0
0.0,0.0,0.0,0.0,2.530000000000001,0.0
0.0,0.0,0.0,0.0,2.570000000000001,0.0
0.0,0.0,0.0,0.0,2.610000000000001,0.0
0.0,0.0,0.0,0.0,2.6500000000000012,0.0
0.0,0.0,0.0,0.0,2.6900000000000013,0.0
0.0,0.0,0.0,0.0,2.7300000000000013,0.0
0.0,0.0,0.0,0.0,2.7700000000000014,0.0
0.0,0.0,0.0,0.0,2.8100000000000014,0.0
0.0,0.0,0.0,0.0,2.8500000000000014,0.0
0.0,0.0,0.0,0.0,2.8900000000000015,0.0
0.0,0.0,0.0,0.0,2.9300000000000015,0.0
0.0,0.0,0.0,0.0,2.9700000000000015,0.0
0.0,0.0,0.0,0.0,3.0100000000000016,0.0
0.0,0.0,0.0,0.0,3.0500000000000016,0.0
0.0,0.0,0.0,0.0,3.0900000000000016,0.0
0.0,0.0,0.0,0.0,3.1300000000000017,0.0
0.0,0.0,0.0,0.0,3.1700000000000017,0.0
0.0,0.0,0.0,0.0,3.2100000000000017,0.0
0.0,0.0,0.0,0.0,3.2500000000000018,0.0
0.0,0.0,0.0,0.0,3.290000000000002,0.0
0.0,0.0,0.0,0.0,3.330000000000002,0.0
0.0,0.0,0.0,0.0,3.370000000000002,0.0
0.0,0.0,0.0,0.0,3.410000000000002,0.0
0.0,0.0,0.0,0.0,3.450000000000002,0.0
0.0,0.0,0.0,0.0,3.490000000000002,0.0
0.0,0.0,0.0,0.0,3.530000000000002,0.0
0.0,0.0,0.0,0.0,3.570000000000002,0.0
0.0,0.0,0.0,0.0,3.610000000000002,0.0
0.0,0.0,0.0,0.0,3.650000000000002,0.0
0.0,0.0,0.0,0.0,3.690000000000002,0.0
0.0,0.0,0.0,0.0,3.730000000000002,0.0
0.0,0.0,0.0,0.0,3.7700000000000022,0.0
0.0,0.0,0.0,0.0,3.8100000000000023,0.0
0.0,0.0,0.0,0.0,3.8500000000000023,0.0
0.0,0.0,0.0,0.0,3.8900000000000023,0.0
0.0,0.0,0.0,0.0,3.9300000000000024,0.0
0.0,0.0,0.0,0.0,3.9700000000000024,0.0
0.0,0.0,0.0,0.0,4.0100000000000025,0.0
0.0,0.0,0.0,0.0,4.0500000000000025,0.0
0.0,0.0,0.0,0.0,4.0900000000000025,0.0
0.0,0.0,0.0,0.0,4.130000000000003,0.0
0.0,0.0,0.0,0.0,4.170000000000003,0.0
0.0,0.0,0.0,0.0,4.210000000000003,0.0
0.0,0.0,0.0,0.0,4.250000000000003,0.0
0.0,0.0,0.0,0.0,4.290000000000003,0.0
0.0,0.0,0.0,0.0,4.330000000000003,0.0
0.0,0.0,0.0,0.0,4.370000000000003,0.0
0.0,0.0,0.0,0.0,4.410000000000003,0.0
0.0,0.0,0.0,0.0,4.450000000000003,0.0
0.0,0.0,0.0,0.0,4.490000000000003,0.0
0.0,0.0,0.0,0.0,4.530000000000003,0.0
0.0,0.0,0.0,0.0,4.570000000000003,0.0
0.0,0.0,0.0,0.0,4.610000000000003,0.0
0.0,0.0,0.0,0.0,4.650000000000003,0.0
0.0,0.0,0.0,0.0,4.690000000000003,0.0
0.0,0.0,0.0,0.0,4.730000000000003,0.0
0.0,0.0,0.0,0.0,4.770000000000003,0.0
0.0,0.0,0.0,0.0,4.810000000000003,0.0
0.0,0.0,0.0,0.0,4.850000000000003,0.0
3.5247757781793683e-06,0.00024255863964967484,0.008140505773521465,0.004469353681971707,4.890000000000003,0.0
3.7091614823268964e-05,0.0017316301588200804,0.04445510822414419,0.023030242531726346,4.929999998823309,3.5247757781793683e-06
0.00017286522293548376,0.005471980773421607,0.0953872212092527,0.044851547010477326,4.969999938852464,3.7091614823268964e-05
0.0005138885206620642,0.012082606835625676,0.15718210760577048,0.07016458466250153,5.009999340002486,0.00017286522293548376
0.0008452603821855368,0.021473343773546184,0.20858529249193772,0.0879351636632344,5.029997880126367,0.0005138885206620642
0.0013847455084521083,0.03269060262654581,0.2350312303533469,0.0937610530245363,5.049993269258618,0.0008452603821855368
0.002160255013781691,0.04501766905581006,0.2543459726748718,0.09989261388310966,5.069982583455306,0.0013847455084521083
0.003188422235270685,0.05782298307515269,0.2572997875074174,0.09824776899114838,5.08996232097236,0.002160255013781691
0.004476781977543216,0.07113524885399182,0.2723109304153809,0.10598967639929817,5.109928895313416,0.003188422235270685
0.006036386442509763,0.08485301346892016,0.2757415400785924,0.10533439791733362,5.129878314411742,0.004476781977543216
0.0078712107242211,0.09862439982140472,0.2752149096883053,0.10446508088747332,5.149806357262834,0.006036386442509763
0.009981017339403073,0.11234494166222618,0.273865744655985,0.10381338774609654,5.169709168356623,0.0078712107242211
0.01236537916982654,0.12611094723273847,0.27630612912762664,0.10538145367227222,5.1895830871911,0.009981017339403073
0.01502646771287176,0.14002467676872088,0.27960940639551923,0.1067822577319816,5.209424258149516,0.01236537916982654
0.01796659853208836,0.15398139741673827,0.2788122884905834,0.10578598269265217,5.2292285091982755,0.01502646771287176
0.021185266000871634,0.16787117326235512,0.2771063257041925,0.10498411304335714,5.24899187460145,0.01796659853208836
0.024681720477770095,0.18179198021906473,0.27930416020957544,0.10647938000835405,5.268710728466634,0.021185266000871634
0.02845824767632536,0.19589958040962752,0.2840828468854088,0.10873130219828629,5.288381154383634,0.024681720477770095
0.032517796972318255,0.21003686139491548,0.281839026061831,0.10669112643328015,5.30799861366444,0.02845824767632536
0.036858660441519,0.2240194693891375,0.27816930178055066,0.10505587803924792,5.32755907826318,0.032517796972318255
0.04147691008392225,0.23775931874024195,0.27251027494544255,0.10256958392753766,5.347059326284146,0.036858660441519
0.046369731210682504,0.2515746122213119,0.2788794308764916,0.10702349327641415,5.366496689321198,0.04147691008392225
0.05154210530882381,0.2657169699224279,0.28553742913773844,0.10960171709066814,5.3858671224294286,0.046369731210682504
0.05699907035684787,0.27997332533876823,0.28484884353420764,0.10809762363325852,5.405165211865006,0.05154210530882381
0.06273997429489345,0.2940797820254015,0.2802851722109601,0.10570846383189876,5.424386468058249,0.05699907035684787
0.06876034785342341,0.3079061200258734,0.2739784109135163,0.10301774435027344,5.443527853682424,0.06273997429489345
0.07505523516286065,0.32157362127579436,0.27292401854611986,0.10350548864921404,5.462587258440736,0.06876034785342341
0.08162501265548654,0.3354734081854683,0.2814345906922709,0.10835636517792359,5.481562043128062,0.07505523516286065
0.0884754366627896,0.3495774182953478,0.28251787848961224,0.10751176831263078,5.500447134363941,0.08162501265548654
0.09560881279663497,0.3637813704147689,0.285137387508487,0.10876676284279553,5.519237484990114,0.0884754366627896
0.10302710243592149,0.37804980341386485,0.2855253399858874,0.10853671547220932,5.537928646118389,0.09560881279663497
0.11072993619093043,0.3921986036938935,0.28124766730613915,0.10612246295045268,5.55651637085783,0.10302710243592149
0.11871266173908651,0.4060034943905417,0.27260598442873973,0.10210146572952618,5.574997789686593,0.11072993619093043
0.1269692474852888,0.41966249230355196,0.2735692296090778,0.10409183611283528,5.59337192046355,0.11871266173908651
0.1355004032490401,0.43349516459082715,0.27874458087270737,0.10677037703789609,5.611636450675456,0.1269692474852888
0.14431046427092706,0.4475403167486088,0.28236664496139935,0.10788365781721188,5.629786514046194,0.1355004032490401
0.15340227825659847,0.46163378079693235,0.2815319836289706,0.10681284626732875,5.647816799143058,0.14431046427092706
0.16277432692293164,0.4755185695291582,0.2750946747602185,0.10341973407813229,5.665723318904399,0.15340227825659847
0.17242118196269687,0.48912677736268206,0.27017724786594693,0.10180863609782585,5.683504427709974,0.16277432692293164
0.18234007953787257,0.5028107890467425,0.2760554939295685,0.10586763065760406,5.701159297376773,0.17242118196269687
0.1925359619081285,0.5168390329042767,0.28362244931654756,0.10902793941987571,5.718683928035343,0.18234007953787257
0.20301506952920367,0.5310908721506229,0.28599571059216117,0.10905116164770612,5.736071637301981,0.1925359619081285
0.21377923891699321,0.5453015467071107,0.2830051294522457,0.1070078414793902,5.75331673900218,0.20301506952920367
0.22482494848244888,0.5592007105866037,0.2745780200129537,0.10288698174633422,5.770416157494905,0.21377923891699321
0.23614574129581997,0.5728591071682505,0.27221188723022066,0.10301310105341062,5.7873697457315565,0.22482494848244888
0.2477392764081531,0.5865031863789422,0.27333556510496343,0.10403024464801862,5.804176839138571,0.23614574129581997
0.2596069671962908,0.6003018589214066,0.27776191519256316,0.10627039472903298,5.820834460852465,0.2477392764081531
0.2717517747485493,0.6141737375493911,0.27721768690733256,0.10522294350824422,5.837337763551314,0.2596069671962908
0.2841733073695184,0.6279585372097424,0.27466450920391966,0.10391316480008743,5.853682761295306,0.2717517747485493
0.29687108889757785,0.6418676156594798,0.2805663720997839,0.10758530743254943,5.869867332111767,0.2841733073695184
